,formula
579,"( s _ { l } ^ { M } ( t ) ) ^ { - 1 } \phi _ { l , n , m } ^ { \prime } = \phi _ { l , n , m } ."
580,| g _ { p m } | ^ { 2 } \sim \frac { H ^ { 2 } } { 2 \sqrt { m ^ { 2 } + ( - p \eta ) ^ { 2 } } } .
581,"\bigg \vert \frac { \beta V ( z ) } { z } \bigg \vert < 1 ,"
582,"{ \cal Z } ~ = ~ \mathrm { t r } \left( ~ \tau ^ { \mathrm { v e r t e x } } ~ \right) ^ { T } \ ,"
583,\hat { g } = e ^ { 2 m z } \hat { h } ( x ) \; .
584,\textbf { 1 } = \; \mid 0 \rangle \langle 0 \mid + \sum _ { A } \mid A \rangle \langle A \mid
585,"A _ { T } = \mu ( r - \gamma ) \; - \; \frac { 1 } { 2 } ( \xi - \xi _ { 0 } ) \nabla \mu ,"
586,"\sigma ( g x ) = a ( g , x ) \cdot \sigma ( x )"
587,"\iota ( t ( e ) ) = ( \iota t \iota ) ( e ) = t ^ { - 1 } ( e ) = t ^ { 2 } ( e ) ,"
588,"X ^ { i } = f J _ { i } , \quad i = 1 , 2 , 3 ; \quad \quad X ^ { \mu } = 0 , \quad \mu \geq 4 ."
589,"\overline { \varphi } _ { j } \equiv { \frac { \varphi _ { j } + \varphi _ { j - 1 } } { 2 } } \ ,"
590,"\chi ( E ) = \sum _ { \{ x _ { k } \in M \vert s ( x _ { k } ) = 0 \} } ( \pm 1 ) ,"
591,"Q _ { m } = \operatorname* { l i m } _ { r \to \infty } ( r \hat { \cal B } ) | _ { a = 0 } ,"
592,\partial _ { \mu } \rightarrow \partial _ { \mu } - i g A _ { \mu }
593,\mathbf { X } _ { n } = \Lambda \mathbf { X } _ { n - 1 } + \mathbf { J } _ { n } .
594,L = \frac 1 2 \dot { q } ^ { 2 } + \lambda ( q _ { i } q _ { i } - R ^ { 2 } ) .
595,\phi ^ { ' } = g ^ { - 1 } \phi g \ \ .
596,"\Delta = P ^ { 2 } \, , \qquad P = \gamma ^ { a } \nabla _ { a } \, ."
597,"T _ { a } ( q ) \; = \; \Theta ( - q ^ { 0 } ) \: \delta ( q ^ { 2 } - a ) \; \; \; ,"
598,\varepsilon = \beta m ^ { 2 } \frac { G M ( r ) } { r } \; .
599,"( - x ) ^ { - k } f ( - x ) = g _ { 1 } ( x ) - g _ { 2 } ( x ) ,"
600,Z _ { + } ^ { 2 } = { \frac { m ^ { 2 } e ^ { \gamma } } { 8 \pi \kappa } }
601,"( t _ { k } ^ { k + 1 } ) ^ { a _ { k } + 1 } | a _ { 1 } , \ldots , a _ { N - 1 } \rangle = 0 \; ."
602,"a _ { 0 } \leq 1 \; \; \; , \; \; \; 0 < \beta \leq { \frac { 2 4 - d } { 4 8 } } \; \; \; ;"
603,\omega ( k ) = { \frac { c k } { n } } \; \Theta ( K - k ) + c k \; \Theta ( k - K ) .
604,\ddot { A } + 3 A + 6 \alpha A ^ { 2 } = 0
605,"B _ { 2 } ( q ) = \frac { \pi \hbar ^ { 2 } \beta } { 2 m ( q ^ { 2 } + 1 ) } ,"
606,"\Phi = V o l _ { B } + \sum _ { i } e _ { i } \wedge \theta _ { i } ,"
607,"T _ { \gamma } ( A ) : = T r \, \mathrm { P } \operatorname { e x p } \oint _ { \gamma } A ,"
608,"a _ { j } = 0 , \quad j = 3 , \, 7 / 2 , \, 4 , \, 5 / 2 , \, 5 , \, \ldots"
609,V ( L ) \ = \ 2 \pi v ^ { 2 } \ \frac L { \operatorname { l n } m _ { \gamma } L }
610,\mu _ { c } = { \frac { ( - 1 ) ^ { k } } { 2 G _ { k } } } .
611,\theta ( x ) = \theta _ { 0 } ( x ) + \theta _ { v } ( x )
612,"R ( \zeta , z ) = e ^ { ( \zeta - z ) L _ { - 1 } } \otimes e ^ { ( z - \zeta ) L _ { - 1 } } ,"
613,"\tau _ { n } ( x ) = \sigma _ { n } ( y ( x ) ) \ , \ n = 2 , 3 , \ldots , N \ ,"
614,"e ^ { - \beta { \cal F } ( \beta ) } = \mathrm { T r } ( e ^ { - \beta \hat { H } } ) ~ ~ ~ ,"
615,\Lambda = \mu \operatorname { e x p } \left( - \frac { 4 \pi } { N g ^ { 2 } ( \mu ) } \right)
616,"q _ { * } - \Lambda ^ { u v } J _ { u } \circ q _ { * } \circ j _ { v } = 0 ,"
617,"k _ { i } \to - k _ { i } , U ^ { + } \to - U ^ { + } , U ^ { - } \to U ^ { - }"
618,"q = n _ { 1 } \, ( 1 , 0 , 0 , 0 ) + n _ { 2 } \, ( 1 , 0 , 0 , 0 ) ^ { 1 } \, ,"
619,V ( r ) \sim - \frac { ( d - 2 ) ^ { 2 } } { 4 r ^ { 2 d - 4 } } .
620,"I _ { l + 1 / 2 } ^ { \prime } ( b ) + { \frac { 1 } { 2 b } } I _ { l + 1 / 2 } ( b ) = 0 ,"
621,"s h _ { 1 } + \lambda = \partial ^ { i } n _ { i } ,"
622,U ( \alpha ) \psi = e ^ { i l \alpha } \psi
623,T ^ { - } = - \partial \Phi \partial \varphi + Q \partial ^ { 2 } \varphi
624,\partial _ { + } \partial _ { - } \Phi + \operatorname { e x p } { 2 \Phi } = 0 .
625,\sigma \pi ( A ) - A \in J \quad \quad \forall A \in \mathcal { P }
626,\alpha = 1 \qquad \beta = - \i k \sqrt { P } \ .
627,( \gamma ^ { \mu } ) ^ { + } = \gamma ^ { 0 } \gamma ^ { \mu } \gamma ^ { 0 } \; \: .
628,"{ \cal H } _ { p - 1 } = C _ { p - 1 } + H _ { p - 1 } ,"
629,E _ { i j } \equiv \frac { \dot { A } _ { i j } - N ^ { s } F _ { s i j } } { N }
630,j _ { [ m ] } ^ { \nu } = \frac { \hat { \gamma } } { c ^ { 2 } } u _ { \mu } T ^ { \mu \nu }
631,L = - M + 2 \lambda \dot { a } ^ { i } \dot { a } ^ { i } .
632,"W ^ { g } = \int d ^ { 2 } \sigma \, w , \quad \mathrm { g h } ( w ) = g"
633,E _ { N } ( 0 ) = - \frac { \pi } { 6 L } ( N ^ { 2 } - 1 ) .
634,"\hat { P } _ { \mu } = P _ { \mu } M ^ { - 1 } , \quad M = ( P _ { \mu } P ^ { \mu } ) ^ { 1 / 2 }"
635,"H = \frac { k } { k + 2 } B C - \frac { 2 } { k + 2 } J ^ { 0 } \, ,"
636,"\left( \beta ^ { \mu } \right) ^ { 3 } = \eta ^ { \mu \mu } \beta ^ { \mu } ,"
637,\begin{array} { c } { \lambda = 1 / 2 } \\ { g > 0 } \\ \end{array}
638,\gamma _ { a } \gamma _ { b } + \gamma _ { b } \gamma _ { a } = 2 \delta _ { a b } .
639,M ^ { 2 } + \Sigma ^ { 2 } - \frac { P ^ { 2 } } { 4 } - \frac { Q ^ { 2 } } { 4 } = 0 \; .
640,m = \sum _ { i = 0 } ^ { L } ( - ) ^ { i } m _ { i } .
641,\Omega R L _ { 0 } ( \theta ^ { n } ) ( \Omega R ) ^ { - 1 } = L _ { 0 } ( \theta ^ { n } )
642,"d \tilde { F } _ { [ 1 ] } + F _ { [ 0 ] } \wedge F _ { [ 2 ] } = 0 ,"
643,"\tilde { \phi } ( p ) \, = \, \tilde { K } ( p ) \, \tilde { \phi } ( p ) \, ,"
644,"e _ { j } = \frac { g _ { j } + 1 } { q ^ { \frac { 1 } { 2 } } } ,"
645,\phi \left( s { \bf p } \right) = s ^ { d _ { \phi } - d } \phi \left( { \bf p } \right)
646,"\Lambda { } = e + \theta { } \sqrt { e } \, \chi { } ."
647,"x \rangle = \Psi ^ { ( 0 ) } ( \eta , \xi ; \lambda _ { 0 } ) \, x _ { 0 } \rangle"
648,"{ } F ( \lambda = 0 ) ~ = ~ - \frac { \pi ^ { 2 } } { 6 } N ^ { 2 } V _ { 3 } T ^ { 4 } \ ,"
649,"\delta q ^ { \mu } = \frac { 1 } { i \hbar } \left[ q ^ { \mu } , G \right]"
650,\partial _ { z } \psi = \psi ^ { n } + f ( z ) \psi + g ( z )
651,\Omega = V _ { 1 } V _ { 2 } . . . V _ { p } W _ { 1 } W _ { 2 } . . . . . . . W _ { G } ~ .
652,\gamma _ { + } ^ { \prime } = \psi _ { - } ^ { - 1 } \gamma _ { + } .
653,\frac { \alpha \left( \nu \right) I \left( \nu \right) d \nu } { h \nu } ~ ~ .
654,\gamma ^ { ( 1 ) a } \equiv \pi ^ { a } - \pi ^ { ( 1 ) a } \approx 0 .
655,"\delta _ { f } \theta = - \epsilon + ( 1 + \Gamma ) \kappa \, ."
656,"( A z ^ { ( 0 ) } ) _ { r } = A _ { r s } z _ { s } ^ { ( 0 ) } ,"
657,g ( \rho ) = \frac { 2 ( k ) ^ { - 1 / 2 } } { 1 + { \rho } ^ { 2 } }
658,"x = \tau \operatorname { s i n h } z ; t = \tau \operatorname { c o s h } z ,"
659,\left\{ \begin{array} { l l } \end{array} \right.
660,"J ( \omega , F _ { 0 } ) = \eta ( \omega , F _ { 0 } ) \omega ."
661,"( s x u \, m \, s z u ) \, j \, ( s x u \, m \, s z d ) = \{ s \} \, j \, \{ s \} = \{ s \} ,"
662,"T ( \alpha , N ) \; = \; \operatorname { e x p } \left( - i \cdot P ( \alpha , N ) \right) ."
663,\tau ^ { m a g } \rightarrow \tau ^ { m a g } + b .
664,\ddot { u } ( \tau ) + \omega ^ { 2 } ( \tau ) { u } ( \tau ) = 0 .
665,"| c , + , 1 > | c , - , 1 > = | c c , 0 , 2 > \ ."
666,Z _ { F } [ C ] = Z _ { B } [ C ] = Z _ { F F } [ C ] \; .
667,\Sigma _ { c h } \Delta _ { c h } = 0 .
668,x ^ { ( n ) } = x ( x - \Delta ) ( x - 2 \Delta ) \cdot \cdot \cdot ( x - ( n - 1 ) \Delta ) \ .
669,\sigma _ { 1 } = \lambda \delta ( x - a )
670,"\Delta \operatorname { e x p } \bigg \{ \frac { i } { \hbar } S \bigg \} = 0 ,"
671,"( 0 , \frac { a } { 2 } \tau ( 0 ) + \frac { b } { 2 } ) ,"
672,( \partial T ^ { 3 } ) _ { s t } \: \equiv \: \Sigma ^ { o u t }
673,"[ E , F ] = [ H ] _ { q } \equiv \frac { q ^ { H } - q ^ { - H } } { q - q ^ { - 1 } }"
674,"\int { \cal D } [ \delta \sigma ] e ^ { - \frac { 1 } { 2 } ( \delta \sigma , \delta \sigma ) } = 1"
675,"s _ { 1 } \, t = N ( t ) \, t = ( 3 L ( t ) \pm 1 ) \, t \qquad ( t \neq 1 )"
676,\dot { \phi } ^ { 2 } = 6 H ^ { 2 } + m ^ { 2 } \phi ^ { 2 } - 2 V _ { 0 } \ .
677,"\{ u ^ { 3 } , u ^ { 2 } v , u v ^ { 2 } , v ^ { 3 } \} \in S y m ^ { 3 } \hat { V } ."
678,T _ { a b } { } ^ { r } = 2 \left( { \cal C } \Gamma ^ { r } \right) _ { a b }
679,"\epsilon \partial B \epsilon - \epsilon \partial \Phi = 0 , \,"
680,a ^ { 2 } \simeq { \frac { \Lambda _ { m } } { 3 } } a ^ { - 4 } + { \frac { a ^ { - 1 } } { 3 } }
681,q _ { A } \equiv \sum _ { i = 1 } ^ { k } { q _ { A } ^ { i } \approx 0 } .
682,{ \cal P } _ { L } = { \cal M } _ { L } \times { \cal E } _ { L } \; \; \;
683,e _ { i } = d _ { i j k } c _ { j } d _ { k } \quad .
684,"T r W ( z _ { 1 } , z _ { 1 } ) = T r R _ { U ( 1 ) } R A"
685,"I _ { T } = I _ { k } + \kappa \alpha _ { n } \int { \cal E } _ { 2 n } \; ,"
686,"\mathrm { V o l } ( 3 , 1 ) = \frac { 1 } { 1 2 } \sqrt { 3 \alpha + 1 } ."
687,"{ \cal L } = \frac { 1 } { 2 } \, \partial _ { \mu } \varphi \, \partial ^ { \, \mu } \varphi ."
688,W _ { \mathrm { f i n } } = W _ { \mathrm { a n o m } } + W _ { \mathrm { i n v } }
689,\rho + p = \frac { A } { 2 r ^ { 3 } } + \frac { 1 } { r ^ { 2 } } \ge 0
690,S = A + \theta ^ { \alpha } \psi _ { \alpha } + \frac { i } { 2 } \overline { { \theta } } \theta C
691,"\omega _ { S U ( 2 ) } = \omega _ { S U ( 2 ) } ^ { A } I _ { A } \ ,"
692,\phi ( x ) = \int _ { G } e ^ { i x b } \hat { \phi } ( b ) d b .
693,\sim ( T / \pi g ^ { 2 } ) \sum _ { n } ( S _ { \mathrm { c l } } ) ^ { - n - 1 } t ^ { n }
694,"Z = f _ { \ast } ( W ) = \sum f _ { n } ( W \ast ) ^ { n } \, ."
695,"z _ { 2 } \rightarrow e ^ { 2 \pi i b _ { 2 } } z _ { 2 } , \, \,"
696,\delta ^ { 2 } E = \frac { 1 } { 4 \pi g } \int \delta R { \hat { M } } \delta R d z
697,"\rho ^ { \mu } = x ^ { \mu } + \beta ^ { \mu } ,"
698,"T = { \cal L } + \tilde { \cal L } \, ."
699,"\alpha = \frac { l \pi } { p } , \, \, k = 1 , \ldots , r - 1 \, \, ,"
700,"c = \frac { 3 l } { 2 G } \, ."
701,"{ \cal U } _ { 0 } \left| \Omega ( k ) \right\rangle = 0 \quad , \quad 2 \leq k \leq N - 2"
702,L = [ J ^ { - 1 } ( P ) \cap ( C \times G ) ] / ( N _ { + } \times N _ { - } ) \subset M _ { P }
703,"{ \cal N } ( t ) = \langle \psi | N ( t ) | \psi \rangle ,"
704,\alpha ( \Lambda ) < { \frac { 1 0 3 2 7 5 \pi } { 8 9 6 } } \simeq 3 . 6 2 \times 1 0 ^ { 2 } .
705,"\tilde { \beta } ( y _ { h } ) = 0 , \ \ \tilde { \beta } ^ { \prime } ( y _ { h } ) \ne 0"
706,"S _ { \tau } = S _ { c l , \tau } - \int ( s _ { \tau } \Phi ^ { A } ) \, \Phi _ { A } ^ { * }"
707,"Y ^ { i } = [ J ^ { i } , Y _ { j m } ] \qquad 1 \le j \le N - 1 , \; - j \le m \le j"
708,"\tilde { \Omega } = e ^ { - f _ { \cal S } ( z ) } { \cal S } \Omega \ ,"
709,\dot { x } = e ^ { 2 S ( x ) } S ^ { \prime } ( x ) + e ^ { S ( x ) } \eta
710,"\mathcal { S } _ { Y M } ( A ) \; + \; \mathcal { S } _ { C S } ( A ) \; ,"
711,\sigma _ { a } \sigma _ { b } + \sigma _ { b } \sigma _ { a } = 2 \delta _ { a b }
712,"S _ { g a u g e , P } ^ { ( R ) } = - \beta \chi ^ { ( R ) } ( U _ { P } ) + c . c ."
713,b = \sqrt { \frac { - 2 \Lambda } { 5 M _ { 7 } { } ^ { 5 } } } ~ .
714,\phi ( x ) \propto { \frac { 1 } { x ^ { 2 } + y ^ { 2 } + z ^ { 2 } + t ^ { 2 } } } .
715,"I _ { n + 1 } ( z ) = I _ { n } ^ { \prime } ( z ) - { \frac { n } { z } } I _ { n } ( z ) ,"
716,\alpha _ { c } ( 1 ) = { \frac { \pi } { 3 } } \times 1 . 9 0 9 4 2 = 1 . 9 9 9 5 .
717,Y = \zeta \phi - { \frac { \lambda \kappa } { 3 } } \zeta ^ { 3 } \phi ^ { 3 } ~ .
718,M ( x ) \simeq { \frac { 1 } { 1 8 0 \pi } } { \frac { 1 } { ( x - 1 ) } }
719,z = 1 - \frac { x _ { \mathrm { H } } } { x } \ .
720,"\Phi _ { I } ( x _ { \mu } , - y ) = \Sigma _ { I J } ^ { b } \Phi _ { J } ( x _ { \mu } , y ) ~ ,"
721,d s ^ { 2 } = \gamma _ { a b } d x ^ { a } d x ^ { b } + r ^ { 2 } d \omega ^ { 2 } .
722,n _ { k } ^ { p } : = \left( \begin{array} { c } { 2 p + 1 } \\ { k } \\ \end{array} \right) \ .
723,"{ \cal G } = A { \cal F } ^ { \dag } , ~ ~ ~ ~ { \cal G } { \cal F } = 1 ,"
724,"F _ { l , r } = F _ { l , \, r + 2 ( N + 2 ) } = F _ { N - 2 - l , \, r + ( N + 2 ) } ."
725,\partial _ { 0 } T _ { 0 i } + \partial _ { k } T _ { k i } = 0
726,"2 \, \partial _ { \tau } \, \Im ( e ^ { - U } e ^ { - i \alpha } \Omega ) = - \Gamma ."
727,"g _ { 3 1 } ( \tau , t ) = g _ { 3 2 } ( \tau , t ) = g _ { 1 3 } ^ { * \sharp } ( t , \tau )"
728,M _ { B } ^ { 2 } = m _ { e } { } ^ { 2 } = M _ { \psi } ^ { 2 } \mu _ { e } ^ { 2 } / \alpha
729,"V ( \phi ) = { \frac { 1 } { 2 } } m ^ { 2 } \phi ^ { 2 } + V _ { 0 } \ ,"
730,"h ^ { 0 } ( C , N ( - F ) | _ { C } ) = h ^ { 1 } ( C , N ( - F ) | _ { C } ) ."
731,"\delta _ { A } = \int d x \, G ( x ) \frac { \delta } { \delta \varphi ( x ) }"
732,"{ \cal D } _ { \alpha } ^ { A } W ^ { B C } = { \cal D } _ { \alpha } ^ { [ A } W ^ { B C ] } \, ,"
733,"\hat { G } _ { 5 } ^ { ( 4 ) } = d i a g ( n , n - 2 , \cdots , - n + 2 , - n ) ."
734,"\dot { Y } _ { 4 } + \sum _ { \mu = 1 } ^ { 4 } [ T _ { \mu } , Y _ { \mu } ] = 0 ."
735,H = \sum _ { j } \frac { \pi _ { j } ^ { 2 } } { h } + V ( \psi )
736,m ^ { 2 } ( T ) + \pi ^ { 2 } T ^ { 2 } \simeq \alpha T \sqrt { 2 \pi | e H | }
737,"T ^ { i j } | \Phi \rangle = 0 , \quad \; \; i < j ,"
738,{ \cal L } = - \frac { 1 } { 2 } ( \partial _ { \mu } \phi ) ^ { 2 } - U ( \phi ) .
739,"T _ { H } = { \frac { 3 u _ { 0 } } { 2 \pi A } } \ , \ \ \ \"
740,\partial _ { A } h _ { B } + \partial _ { B } h _ { A } \propto \eta _ { A B }
741,g ( \omega ) g ( \omega ^ { \prime } ) = g ( \omega + \omega ^ { \prime } ) .
742,"\alpha \; = \; - \, \frac { 1 } { 2 } \quad ."
743,"3 9 4 g - 1 \sim \frac { 2 } { L } > 0 ,"
744,"{ \frac { d } { d \lambda } } U ( \lambda ) = - i \, H ( \lambda ) \, U ( \lambda ) ,"
745,"h _ { 2 k + 1 , 1 } = k ^ { 2 } p + k p - k \, ."
746,\delta = a ( t ) \int _ { t _ { 0 } } ^ { \infty } \frac { c d t } { a ( t ) } < \infty
747,S = \int L _ { 1 } \Phi d ^ { 4 } x + \int L _ { 2 } \sqrt { - g } d ^ { 4 } x
748,"\nabla F + m ^ { 2 } G = 0 , \hspace { 0 . 3 i n } F = - \overline { { \nabla } } G ,"
749,"2 F ^ { 0 } ( g ) = G \left( g , \frac { \partial F ^ { 0 } ( g ) } { \partial g } \right)"
750,{ \cal M } = \sqrt { 2 } \kappa _ { 6 } p \cdot q \ .
751,"a _ { p } | 0 _ { M } \rangle = 0 , \quad - \infty < p < \infty ,"
752,M _ { c } = 0 . 3 1 G e V ~ ~ ~ f o r ~ ~ ~ \mu = 0 . 4 3
753,2 F G _ { \mu } ^ { \nu } + \theta _ { \mu } ^ { \nu } = 1 6 \pi T _ { \mu } ^ { \nu ( m ) }
754,"\dot { \lambda } - \lambda ^ { \prime } = 0 \, ,"
755,"X ^ { \mu } = \xi x { ^ \mu _ { 1 } } + ( 1 - \xi ) x { ^ \mu _ { 2 } } ,"
756,n _ { i } \rightarrow n _ { i } + p _ { i } \alpha .
757,"d s ^ { 2 } = a ^ { 2 } ( \varphi ) d x _ { \parallel } ^ { 2 } - d \varphi ^ { 2 } \, ,"
758,"D _ { \pm } : S _ { \pm } \otimes E \longrightarrow S _ { \mp } \otimes E \; ,"
759,"\nabla _ { \mu } F ^ { \mu \nu } + i e [ A _ { \mu } , F ^ { \mu \nu } ] = 0 ."
760,"\Psi \rightarrow e ^ { i \alpha \gamma _ { 5 } } \Psi \, ."
761,"T r ( { \cal L } _ { j } ) \propto { \cal H } _ { \omega } , \quad j = 1 , 2 ."
762,"\omega \equiv 2 \sqrt { h _ { \alpha } \, h _ { \beta } }"
763,\Lambda _ { E } = e ^ { 2 \Phi - \sigma _ { 1 } - 5 \sigma _ { 2 } } Q ^ { 2 } ( t )
764,"e ^ { A } ( z ) = d z ^ { M } e _ { M } ^ { A } = ( e ^ { a } , ~ e ^ { \alpha q } )"
765,\psi = \left( \begin{array} { c } { \psi _ { R } } \\ { \psi _ { L } } \\ \end{array} \right) .
766,"\operatorname { d i m } | { \mathcal O } _ { Q } ( 1 , 4 ) | = 9 ."
767,"{ \bf \Phi } \mapsto e ^ { - q \sigma } { \bf \Phi } ,"
768,"F _ { 3 0 } = \sqrt { 2 \lambda } , \; \; \lambda = \mathrm { c o n s t a n t } ."
769,"\ddot { A } \left( t \right) = \, \, C _ { 1 } ( t ; \Xi _ { t , 0 } ] + \xi \left( t \right)"
770,\phi ^ { D } = \psi ^ { \tau _ { 1 } } + \psi ^ { \tau _ { 2 } } + \psi ^ { B }
771,"\left[ \hat { K } _ { 1 } , \hat { K } _ { 2 } \right] _ { - } = 0"
772,"G _ { A _ { 0 } } ( z ^ { I } ) \approx 0 , \qquad A _ { 0 } = 1 , \ldots , M _ { 0 } ."
773,\sum _ { \mu } A _ { \mu } d x ^ { \mu } + { \Phi } \chi ^ { - } .
774,F = C ( V ( T _ { 0 } ) + f ( T _ { 0 } ) \overline { { \theta } } _ { R } \theta _ { L } ) = 0
775,"\Theta \sim \lambda \gamma ^ { 4 } \, ,"
776,"h ^ { 2 } = { \gamma } ^ { 2 } = \frac { 2 } { q } ,"
777,\partial _ { 1 } \operatorname { l n } B = \mu \Omega ^ { 1 - \lambda } \frac { A } { B }
778,"F _ { + } \Longrightarrow B \ , \qquad \ F _ { - } \Longrightarrow 0 \ ."
779,S = - i \int d ^ { 3 } z ^ { ( + ) } \eta ^ { + } = \int d ^ { 2 } x D _ { + } \eta ^ { + }
780,"V _ { p , q } ( \phi ) = A \phi ^ { 2 } p ( 1 - \phi ^ { q / p } ) ,"
781,\psi _ { + } ^ { \prime \prime } = \frac { L _ { + } } { \ell ^ { 2 } } \psi _ { + } \qquad .
782,"S ( \tau , \sigma ) = \sqrt { - g _ { \mu \nu } X ^ { \prime \mu } X ^ { \prime \nu } } \; ."
783,W _ { m a t } = { \frac { 1 } { 2 } } \int { } [ ( \nabla \phi ) ^ { 2 } + \xi R \phi ^ { 2 } ]
784,"( D _ { 1 } ^ { 4 } + 3 D _ { 2 } ^ { 2 } - 4 D _ { 1 } D _ { 3 } ) \tau \cdot \tau = 0 ,"
785,\alpha ( x g ) = \rho _ { N } ( g ) ^ { - 1 } \alpha ( x ) \phi [ ( \rho _ { n } ( g ) ] .
786,0 \to B _ { 2 } \to E _ { 1 } \to B _ { 3 } \to 0 .
787,"\phi = \frac { 1 } { \sqrt { 2 } } { \rho } e ^ { i \theta } ,"
788,g _ { \mu \nu } = \eta _ { \mu \nu } + e _ { \mu \nu } e ^ { i k x }
789,{ \cal R } \otimes { \bf r } _ { i } = \bigoplus _ { j } a _ { i j } ^ { \cal R } { \bf r } _ { j }
790,"\alpha \cdot \beta = 0 , \quad \alpha ^ { 2 } = - \beta ^ { 2 } = 1 ,"
791,a ^ { 2 } = \Delta - { \frac { 2 ( p + 1 ) ( \tilde { p } + 1 ) } { D - 2 } } .
792,\mathrm { t r } ( T ^ { A } T ^ { B } ) = { \frac { 1 } { 2 } } \delta _ { A B }
793,"W ( R , T ) \simeq \operatorname { e x p } \left[ - \sigma T R \right]"
794,\tau _ { \xi } = \frac { \mu _ { \xi } \tau + \kappa _ { \xi } } { \lambda _ { \xi } }
795,\langle L ^ { + + } ( 1 ) L ^ { + + } ( 2 ) L ^ { + + } ( 3 ) L ^ { + + } ( 4 ) \rangle \; .
796,+ ( \psi ^ { \dagger } \nabla _ { i } \Pi \psi ) ( \nabla _ { j } \Phi )
797,"{ \frac { \partial } { \partial t } } = - a { \frac { \partial } { \partial a } } ,"
798,"f ( { \sf r } , v ) = { \sf r } - { \sf r } _ { \Sigma } ( v ) = 0"
799,k ^ { + } { \cdot } p ^ { - } = k { \cdot } p + i k { \cdot } J { \cdot } p .
800,"\hat { \hat { k } } ^ { 2 } = e ^ { - \frac { 2 } { 3 } \hat { \phi } } \hat { k } ^ { 2 } \, ."
801,B _ { p } = \left( \frac { P _ { f } } { P _ { i } } \right) ^ { 1 / 3 } = 1 \; .
802,{ \partial } _ { b } J _ { a } - { \partial } _ { a } J _ { b } = 0
803,"f ( \hat { P } ) = \int d ^ { p + 1 } k e ^ { i k _ { i } \hat { P } ^ { i } } \tilde { f } ( k ) ,"
804,"D _ { 3 } ( G , N ) = D _ { 2 } ( G , N ) + \triangle _ { 3 2 } ( G , N ) ,"
805,"E _ { n } = { \frac { 2 T _ { 0 } } { m } } \operatorname { s i n } { \frac { n \pi } { N } } \; ,"
806,B = \left( 1 - \frac { \mu \beta } { 2 } \right) A ^ { 2 } .
807,"[ L _ { i } , L _ { j } ] = c ^ { k } { } _ { i j } L _ { k } , \quad c _ { i j } ^ { a } = 0 ,"
808,"\tilde { P } ( C ) \ge 0 , ~ ~ ~ ~ ~ \int \tilde { P } ( C ) \, \d C = 1 ,"
809,E ^ { a } = \frac { 1 } { 2 | e | } \left( \omega ^ { ( + ) a } - \omega ^ { ( - ) a } \right)
810,"\Psi ^ { \prime } ( x ) = \operatorname { e x p } ( - i D ^ { a } \theta _ { a } ) \Psi ( x ) ,"
811,"F ( s , t ) = F ^ { ( 1 ) } ( s , t ) + F ^ { ( 2 ) } ( s , t ) + F ^ { ( 3 ) } ( s , t ) ,"
812,D _ { \mu } \varphi = \partial _ { \mu } \varphi + i e Q A _ { \mu } \varphi .
813,"\theta _ { A B } = u _ { B c } ^ { b } + u _ { A c } ^ { a } - \pi \, ,"
814,Q _ { i } = \int _ { 0 } ^ { 2 \pi } d x \epsilon _ { i } ( x ) W _ { i } ( x )
815,"\eta ^ { 2 } = u ( x ^ { 2 } - 4 ) ( x - \lambda ) ,"
816,\sum _ { n } C _ { n } \left( \frac { \Lambda ^ { 4 } } { \Phi ^ { 4 } } \right) ^ { n }
817,"\hat { H } _ { e } \phi ( q ) = i \hbar \frac { \partial } { \partial t } \phi ( q ) ,"
818,"( \partial _ { t } + 3 H ) H _ { t t } + \sum _ { i } H _ { i } H _ { i i } = 0 ,"
819,"S ( M ) = \pi ( r _ { \mathrm { b } } ^ { 2 } + r _ { \mathrm { c } } ^ { 2 } ) ,"
820,\delta H _ { l + 1 } = L \cdot \delta H _ { l } + N [ \delta H _ { l } ] \; .
821,\ ^ { * } F ( A ) = \epsilon ^ { \mu \nu } F _ { \mu \nu } ( A ) = 0 .
822,"K = \langle \chi \left| _ { { \bf t } = 0 } \right. , \mathrm { \boldmath ~ \vartheta ~ } \rangle ,"
823,"\frac { \partial ( x ^ { 1 } , x ^ { 2 } ) } { \partial ( y ^ { 1 } , y ^ { 2 } ) } \; = \; 1"
824,"K ( t ) = \int _ { 0 } ^ { \infty } d \lambda ~ e ^ { - \lambda t } \varphi ( \lambda ) ,"
825,h ^ { N } = h ^ { 1 } + { \frac { k } { 2 } } ( N - 1 ) .
826,"\eta = \frac { \Omega \epsilon \varphi } { 8 \pi } ,"
827,"\beta < \frac { 2 } { 1 1 } \left( 1 + \frac { 3 \sqrt { 3 } } { 4 } \right) \, ,"
828,"\phi = 4 \eta _ { 0 } \frac r l ( \tau _ { 0 } + \tau _ { 2 } ) \, ,"
829,"\mu ( p ) - \mu ( 2 q - ( p - 1 ) ) = - 1 , \mathtt { \ } p = 1 , \dots , q ."
830,\mu = \operatorname { e x p } \left[ \frac { 1 } { 3 } ( 2 \xi + 4 \eta ) \right] .
831,"\mathrm { e } ^ { i \alpha } = - \sqrt { 2 } \, \frac { m } { q } \, ,"
832,"\Gamma = \mathrm { l n } Z - \int J _ { \varphi ^ { i } } \varphi ^ { i } ,"
833,"D _ { S } \otimes D _ { S } = \sum _ { j = 0 } ^ { 2 S } D _ { j } \, ,"
